quizzes,solutions
453178296629354718871926534716492385294835167538617942162549873380261459945783621,453178296629354718871926534716492385294835167538617942162549873387261459945783621
326197854179458263485362791894235617761849532253716948542673189607981425918524376,326197854179458263485362791894235617761849532253716948542673189637981425918524376
617953248593284176824167935481679523769532814352841697238416759075328461146795382,617953248593284176824167935481679523769532814352841697238416759975328461146795382
284639715396517824175428936528943167617852349409761258752384691843196572961275483,284639715396517824175428936528943167617852349439761258752384691843196572961275483
039842761248617593716935284162793458485261379397584126624179835853426917971358642,539842761248617593716935284162793458485261379397584126624179835853426917971358642
596783014142659783837214659978132546321546897465897132689371425254968371713425968,596783214142659783837214659978132546321546897465897132689371425254968371713425968
374529816905816473618473529597268134431795268862134795289641357753982641146357982,374529816925816473618473529597268134431795268862134795289641357753982641146357982
318926457296754831574138609162495378783612594945873216437281965659347182821569743,318926457296754831574138629162495378783612594945873216437281965659347182821569743
283917654197654823564823917872491365941365782635782491459236178718549236320178549,283917654197654823564823917872491365941365782635782491459236178718549236326178549
516398247398427156427516938965283714174965823283174695859732461641859372732641509,516398247398427156427516938965283714174965823283174695859732461641859372732641589
465137928713982645298654173134879502987526314652341897529463781346718259871295436,465137928713982645298654173134879562987526314652341897529463781346718259871295436
716534982534892176892716354328967415145328697960145238483279561651483729279651843,716534982534892176892716354328967415145328697967145238483279561651483729279651843
263145879541897326708362154985736241412589763637214598379621485854973612126458937,263145879541897326798362154985736241412589763637214598379621485854973612126458937
891546732327198564645723189584207913139485276762931458418652397256379841973814625,891546732327198564645723189584267913139485276762931458418652397256379841973814625
564178239293645871017932546429567318756813492381294765938426157642751983175389624,564178239293645871817932546429567318756813492381294765938426157642751983175389624
864312975123759648597486231248193756675824319931567482719645823302971564456238197,864312975123759648597486231248193756675824319931567482719645823382971564456238197
478261395935748261621395748147652983562983417893417652356879124789124536014536879,478261395935748261621395748147652983562983417893417652356879124789124536214536879
745628391931574026286193475369741582852936147417285639578362914194857263623419758,745628391931574826286193475369741582852936147417285639578362914194857263623419758
569347128473821659218956743847192536920635487356784291735418962692573814184269375,569347128473821659218956743847192536921635487356784291735418962692573814184269375
976815342423769058581234697764198523819352476235647981197583264358426719642971835,976815342423769158581234697764198523819352476235647981197583264358426719642971835
716493852582671394934258176865714239147932685329580417253867941491325768678149523,716493852582671394934258176865714239147932685329586417253867941491325768678149523
158629734734815296296473158825967413413582679679341825947138562562704381381256947,158629734734815296296473158825967413413582679679341825947138562562794381381256947
168347529259861473743952618687234951432195867591786342804523196325619784916478235,168347529259861473743952618687234951432195867591786342874523196325619784916478235
683241957421597683957863421148972365365418792792635148816724539204359816539186274,683241957421597683957863421148972365365418792792635148816724539274359816539186274
548932761761845239239167548953621874874359126126478953692714385017583692385296417,548932761761845239239167548953621874874359126126478953692714385417583692385296417
491532867523687149678419352714053628935268471286741593159326784847195236362874915,491532867523687149678419352714953628935268471286741593159326784847195236362874915
162759348975384612438621795596478123847132956213965487651897234324016879789243561,162759348975384612438621795596478123847132956213965487651897234324516879789243561
734159862826437915951628743549812376367945281218763594192386457683504129475291638,734159862826437915951628743549812376367945281218763594192386457683574129475291638
580917643917346285346582719875169324169423578423875961254798136798631452631254897,582917643917346285346582719875169324169423578423875961254798136798631452631254897
764285913528931674193647258947806321685312497231479865379564182456128739812793546,764285913528931674193647258947856321685312497231479865379564182456128739812793546
783641259925837641104259837841596372659372418237418596572183964318964725496725183,783641259925837641164259837841596372659372418237418596572183964318964725496725183
154268793739541862826397145683759421412836957975124638591482376248670519367915284,154268793739541862826397145683759421412836957975124638591482376248673519367915284
478136259952784316613529874391452768867913542245678193584367921029845637736291485,478136259952784316613529874391452768867913542245678193584367921129845637736291485
641950732723614958985732614174586329392147586568329147259473861437861295816295473,641958732723614958985732614174586329392147586568329147259473861437861295816295473
168347529259861473743952618687234951432195867591786342804523196325619784916478235,168347529259861473743952618687234951432195867591786342874523196325619784916478235
329148765184675932657392418465723891732981546918456273846537129573219684291064357,329148765184675932657392418465723891732981546918456273846537129573219684291864357
168237495237945618945168327013724956724596183596813274479651832382479561651382749,168237495237945618945168327813724956724596183596813274479651832382479561651382749
694785231758312964321649578243068157986571423517234896135426789879153642462897315,694785231758312964321649578243968157986571423517234896135426789879153642462897315
583162794947835621216479358398516472724983165651247039879351246135624987462798513,583162794947835621216479358398516472724983165651247839879351246135624987462798513
712865439943021568856934127294617853671358942385249716129576384438192675567483291,712865439943721568856934127294617853671358942385249716129576384438192675567483291
354216790987435216162798435541962387629387154873154962416829573298573641735641829,354216798987435216162798435541962387629387154873154962416829573298573641735641829
958763412241598736673421589432159867780342195519876324364215978897634251125987643,958763412241598736673421589432159867786342195519876324364215978897634251125987643
082315796679482153315679824726854931854193267193726548247538619538961472961247385,482315796679482153315679824726854931854193267193726548247538619538961472961247385
874963512693215487125784369751498623948326175236571894417839256089652741562147938,874963512693215487125784369751498623948326175236571894417839256389652741562147938
526438197917652834384791256491275368752863941638149572175326489263984015849517623,526438197917652834384791256491275368752863941638149572175326489263984715849517623
598723461461059237237146598672491385914538672385267914753612849849375126126984753,598723461461859237237146598672491385914538672385267914753612849849375126126984753
936427815518396742247158639623574198891263457754981326169732584372845961405619273,936427815518396742247158639623574198891263457754981326169732584372845961485619273
694813257725649318831752946182507634579436821463128795217965483348271569956384172,694813257725649318831752946182597634579436821463128795217965483348271569956384172
129754863368912745507836921495367182673128594281549376832491657914675238756283419,129754863368912745547836921495367182673128594281549376832491657914675238756283419
158247936472693158936815472215764093647389215893521647364958721589172364721436589,158247936472693158936815472215764893647389215893521647364958721589172364721436589
792156843156384927384792560543827619961543278827961435635478192219635784478219356,792156843156384927384792561543827619961543278827961435635478192219635784478219356
175836942294751836683942751831469527752318469946527318468295173529173684317684290,175836942294751836683942751831469527752318469946527318468295173529173684317684295
174895623859263417236147985983672541415938762627451398392716854508329176761584239,174895623859263417236147985983672541415938762627451398392716854548329176761584239
867492153942531068351687249573268914419753826628149375134875692785926431296314587,867492153942531768351687249573268914419753826628149375134875692785926431296314587
236754819198326457574918623629543781817269345453187962342875196961402578785691234,236754819198326457574918623629543781817269345453187962342875196961432578785691234
156384792972561348438729516324697851709815234581243679845932167293176485617458923,156384792972561348438729516324697851769815234581243679845932167293176485617458923
149528376736941285825637410251863947368794521497152638514286793682379154973415862,149528376736941285825637419251863947368794521497152638514286793682379154973415862
684395712712048359359721684275416938938257461461983275147869523896532147523174896,684395712712648359359721684275416938938257461461983275147869523896532147523174896
137685924942731568586249173618452739254397681793816245329178456871560392465923817,137685924942731568586249173618452739254397681793816245329178456871564392465923817
728653194635491287419782356396148572184275963257369841903817625562934718871526439,728653194635491287419782356396148572184275963257369841943817625562934718871526439
589314267276895413431702598948231675123576984657489132362957841795148326814623759,589314267276895413431762598948231675123576984657489132362957841795148326814623759
174259836836147295295863174748915362362784951951326748629438517483571629517692480,174259836836147295295863174748915362362784951951326748629438517483571629517692483
673598210985214367142367598368459721217836459594721836839145672726983145451672983,673598214985214367142367598368459721217836459594721836839145672726983145451672983
581439276049672158762851934154396827936728415278514693697285341825143769413967582,581439276349672158762851934154396827936728415278514693697285341825143769413967582
936842751482571936751396482298415673673928145145763098869254317317689524524137869,936842751482571936751396482298415673673928145145763298869254317317689524524137869
392548617458716239176932845721893456983654172564271398615327984237489560849165723,392548617458716239176932845721893456983654172564271398615327984237489561849165723
279365481356481297418290365637854912845912673921673854762538149194726538583149726,279365481356481297418297365637854912845912673921673854762538149194726538583149726
840653719719428365365197842427586193658931427193274658271845936584369271936712584,842653719719428365365197842427586193658931427193274658271845936584369271936712584
179346825582791346634825791253189674460532189918674532895417263326958417741263958,179346825582791346634825791253189674467532189918674532895417263326958417741263958
847590136925613847136784925512368794683479512794251683459126378378945261261837459,847592136925613847136784925512368794683479512794251683459126378378945261261837459
321768954786945321954312786519236847263874519047591263498153672135627498672489135,321768954786945321954312786519236847263874519847591263498153672135627498672489135
172936548936584107584172963457213689698457231213698475741329856329865714865741392,172936548936584127584172963457213689698457231213698475741329856329865714865741392
647831295183259467925476813859762341276314589431598726398625174562147038714983652,647831295183259467925476813859762341276314589431598726398625174562147938714983652
985347621734621859162859347647210593359476218821593476276185934518934762493762185,985347621734621859162859347647218593359476218821593476276185934518934762493762185
752134896134896752896752134473619285285473619609285473327941568568327941941568327,752134896134896752896752134473619285285473619619285473327941568568327941941568327
819327456723456918654918327246895731598731642137640895485179263971263584362584179,819327456723456918654918327246895731598731642137642895485179263971263584362584179
472961385169385274583274961635428197824197536791536428348712659017659843956843712,472961385169385274583274961635428197824197536791536428348712659217659843956843712
419265387738491562256780194184529673592376841367148925945632718871954236623817459,419265387738491562256783194184529673592376841367148925945632718871954236623817459
873156294516492387942783651768215943125349876439078512384567129291834765657921438,873156294516492387942783651768215943125349876439678512384567129291834765657921438
815293746476518932302674185763451298928367514154829673639745821547182369281936457,815293746476518932392674185763451298928367514154829673639745821547182369281936457
528917436463825791719364582194536078287491653635782149946253817871649325352178964,528917436463825791719364582194536278287491653635782149946253817871649325352178964
147983625893526714256417389614879532325164978789235461478392156932651847561740293,147983625893526714256417389614879532325164978789235461478392156932651847561748293
192453608786912354543876219679124835358769421214538967961245783425387196837691542,192453678786912354543876219679124835358769421214538967961245783425387196837691542
943527861168493752257618349401359276539762184672841935826134597314975628795286413,943527861168493752257618349481359276539762184672841935826134597314975628795286413
431259687786341925529876134152798346643512879978463201864135792315927468297684513,431259687786341925529876134152798346643512879978463251864135792315927468297684513
821746593953182647467395281678453129219867054534921768346519872195278436782634915,821746593953182647467395281678453129219867354534921768346519872195278436782634915
798613524136245987452879361364752819981430275527198643279381456645927138813564792,798613524136245987452879361364752819981436275527198643279381456645927138813564792
524319687931876524687245931879462315246153879315798206468521793152937468793684152,524319687931876524687245931879462315246153879315798246468521793152937468793684152
